name
ROLE_ADMIN
ROLE_USER
ROLE_DIRECTION
ROLE_CP
ROLE_SOUTIENT
ROLE_SAAQ
ROLE_REPARTITION
ROLE_HOTEL
ROLE_ENSEIGNANT
ROLE_ENTREPRISE
